t_s,Thot_FGM,Tcold_FGM,Thot_BI,Tcold_BI,sigVM_max_FGM,sigVM_max_BI,delta_FGM_um,delta_BI_um
1.3,739.867962160038,634.96751061182,816.044849184753,634.893006416811,210.631651523091,261.548176981562,1272.94778677706,988.475604079531
1.31,740.432172671674,635.250930718873,816.683087565538,635.187786499602,211.233921723708,261.948002035996,1279.67693491501,994.172626193378
1.32,740.985540227347,635.529061944241,817.308389803855,635.476932461963,211.824569715253,262.339798528625,1286.2742035184,999.745894485912
1.33,741.528283388788,635.801995445227,817.921063461585,635.760534506705,212.403831721235,262.723746881891,1292.74273484473,1005.19962779821
1.34,742.060614761922,636.069822109109,818.521401642529,636.038684281461,212.971937412358,263.100020425362,1299.08549965573,1010.53767083238
1.35,742.582741421442,636.33263229725,819.109684675406,636.311474321959,213.529110381865,263.46878612366,1305.3053208701,1015.76354994073
1.36,743.09486527059,636.590515642039,819.686181526639,636.578997593509,214.075568547787,263.83020519059,1311.40489300756,1020.88051972832
1.37,743.597183347779,636.843560886647,820.251150988978,636.84134711437,214.611524495959,264.184433608477,1317.38679820224,1025.89160200619
1.38,744.089888089704,637.091855759716,820.804842684152,637.098615647487,215.137185773964,264.531622569147,1323.25351941516,1030.79961836248
1.39,744.573167558665,637.335486878373,821.34749791074,637.3508954493,215.652755145045,264.871918849319,1329.00745135981,1035.60721741575
1.4,745.047205640431,637.574539674248,821.87935036355,637.598278065832,216.15843080882,265.205465131578,1334.65090955788,1040.31689764091
1.41,745.512182217844,637.809098338292,822.400626745738,637.840854168395,216.654406594798,265.532400279947,1340.18613786739,1044.93102649899
1.42,745.968273324421,638.039245780597,822.911547291758,638.078713422011,217.140872133538,265.852859577414,1345.61531476687,1049.45185649247
1.43,746.415651281333,638.265063602616,823.412326215739,638.311944381134,217.61801300895,266.166974931881,1350.940558615,1053.88153865268
1.44,746.854484820581,638.486632079235,823.903172097715,638.54063440787,218.086010895285,266.474875055485,1356.16393207536,1058.22213389286
1.45,747.284939196852,638.704030148845,824.384288217838,638.764869609066,218.545043681179,266.776685621716,1361.28744586322,1062.47562257445
1.46,747.707176289615,638.917335409908,824.855872847095,638.984734788781,218.995285582977,267.07252940387,1366.31306192441,1066.64391259074
1.47,748.121354697274,639.126624122673,825.318119501562,639.200313413647,219.436907249069,267.362526397775,1371.24269616055,1070.72884620804
1.48,748.527629824548,639.331971215006,825.77121716607,639.411687588813,219.870075856393,267.646793931392,1376.07822077493,1074.73220587336
1.49,748.926153964009,639.533450291587,826.21535049215,639.618938042561,220.294955200896,267.925446763213,1380.82146630786,1078.6557191584
1.5,749.317076372827,639.73113364564,826.650699974363,639.822144118211,220.711705781947,268.198597171185,1385.47422341803,1082.50106298109
1.51,749.700543345208,639.925092272789,827.077442108371,640.021383771808,221.120484882498,268.46635503374,1390.03824445089,1086.26986722604
1.52,750.076698281244,640.115395886499,827.495749533591,640.216733574654,221.521446644888,268.72882790404,1394.51524483534,1089.96371786104
1.53,750.445681752559,640.302112934709,827.905791162749,640.408268719866,221.9147421433,268.986121078276,1398.90690433463,1093.58415962843
1.54,750.807631565201,640.485310617469,828.307732300345,640.596063031999,222.300519452787,269.238337659189,1403.21486817609,1097.13269838816
1.55,751.162682820026,640.665054905232,828.701734751639,640.780188979329,222.678923715934,269.485578615224,1407.44074808245,1100.61080316053
1.56,751.510967970953,640.841410557628,829.087956923511,640.960717688156,223.050097206658,269.727942836002,1411.58612321809,1104.01990792276
1.57,751.852616881145,641.014441142604,829.466553918406,641.137718958831,223.414179392201,269.965527184676,1415.65254106599,1107.36141319514
1.58,752.187756877464,641.184209055766,829.837677622256,641.31126128299,223.77130699272,270.198426547411,1419.64151824157,1110.63668745232
